                                Title: B2B billing analysis Spain      Country: Spain,,,,,,,,,,,,,,,,,,,,,,
                                Description: B2B analysis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
                                Period: Billing from 2010-07-01 to 2014-07-31,,,,,,,,,,,,,,,,,,,,,,
                                Run date: 01Aug2014,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country,Ctry code,Customer,Boarding date,Cust nbr,Inv nbr,Inv date,Due date,Inv tot amt,Revtype,Settled date,Pmt delay,Status,Rundate,Disputenumber,Status2,Startdate,Enddate,Dispreasoncode,Dispreasoncodedesc,Invdisputedate,Resdate,Paper / Electronic
Spain,838,BMS,2013-10-03,00056528,  FIG9506160,11-11-2010,11-12-2010,"1,98,293.99",GTS,16-12-2010,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9506375,26-11-2010,26-12-2010,"55,934.19",GTS,27-12-2010,1,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9506805,13-12-2010,12-01-2011,"55,934.19",GTS,19-01-2011,7,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9506916,16-12-2010,15-01-2011,250.35,GTS,20-01-2011,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9507325,31-12-2010,30-01-2011,"55,934.19",GTS,01-02-2011,2,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,     8541274,10-01-2011,10-01-2011,"39,230.28",DSW,27-01-2011,17,Settled,31-07-2014,000008214,CLOSED,2011-01-25,2011-01-26,X7,INCORRECT SOFTWARE INVOICED OR PERIOD OF SOFTWARE INVOICING DISPUTED,2011-01-25,   26/1/11,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9500326,26-01-2011,25-02-2011,"1,057.47",GTS,24-03-2011,27,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9500789,16-02-2011,18-03-2011,"55,934.19",GTS,24-03-2011,6,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9500839,22-02-2011,24-03-2011,"4,551.17",GTS,29-03-2011,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9501289,09-03-2011,08-04-2011,"57,330.94",GTS,14-04-2011,6,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9501368,16-03-2011,15-04-2011,"2,812.83",GTS,21-04-2011,6,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9502012,08-04-2011,08-05-2011,"56,399.78",GTS,12-05-2011,4,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9502439,05-05-2011,04-06-2011,"56,399.78",GTS,09-06-2011,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9502714,26-05-2011,25-06-2011,"5,928.08",GTS,22-07-2011,27,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9502714,26-05-2011,25-06-2011,"5,928.08",GTS,01-07-2011,6,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9503193,15-06-2011,15-07-2011,"52,370.48",GTS,22-07-2011,7,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9503750,06-07-2011,05-08-2011,983.71,GTS,29-08-2011,24,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9503900,15-07-2011,14-08-2011,"52,370.48",GTS,29-08-2011,15,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9504344,03-08-2011,02-09-2011,"1,692.50",GTS,15-09-2011,13,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9504502,26-08-2011,25-09-2011,"52,370.48",GTS,29-09-2011,4,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9504766,02-09-2011,02-10-2011,"6,779.37",GTS,04-10-2011,2,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9504855,07-09-2011,07-10-2011,"52,370.48",GTS,14-10-2011,7,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9505100,22-09-2011,22-10-2011,"5,908.94",GTS,27-10-2011,5,Settled,31-07-2014,,,,,,,,,Paper invoice
